NOMBRE1,NOMBRE1_0,NOMBRE2_0,NOMBRE1_3
BERNARDINO,861,311,1172
RAIMUNDO,929,243,1172
CARIDAD,433,738,1171
RODRIGO,843,326,1169
ROMULO,988,181,1169
MELANIA,454,711,1165
OTILIO,719,442,1161
NEPTALY,431,727,1158
THELMA,1072,85,1157
SIMONA,773,380,1153
EVELIN,774,379,1153
MIRTALA,770,375,1145
ELISABETH,107,1034,1141
JAQUELINE,125,1015,1140
MAXIMINA,812,326,1138
GEOVANNI,157,980,1137
ISIDORA,636,501,1137
JEREMIAS,794,338,1132
HORACIO,711,416,1127
ALFONZO,478,646,1124
ERLIN,1073,48,1121
ELA,997,123,1120
GISELA,300,816,1116
LINA,411,704,1115
MARLENI,341,771,1112
SIMEON,852,257,1109
JEANETH,65,1030,1095
YANIRA,289,805,1094
YAQUELIN,66,1025,1091
EXEQUIEL,526,561,1087
ROSALIO,863,223,1086
RONALD,980,105,1085
DANELIA,418,664,1082
JOAQUINA,573,506,1079
MAGDALENO,766,311,1077
ORLIN,1042,32,1074
YOVANNY,104,962,1066
NARCISA,716,348,1064
TIBURCIO,787,276,1063
ETELVINA,347,713,1060
AURA,1005,54,1059
NOEMY,374,682,1056
BETY,874,176,1050
LISETH,35,1010,1045
JOHANNA,343,700,1043
HILARIA,609,429,1038
ORALIA,460,576,1036
NECTALI,454,581,1035
ANAEL,249,779,1028
DELMA,931,97,1028
MATEO,566,461,1027
UBALDO,566,457,1023
EVARISTO,585,435,1020
POMPILIO,642,377,1019
BETTY,827,192,1019
LISSETH,26,991,1017
OTONIEL,256,760,1016
BELKIS,974,40,1014
TRANSITO,629,383,1012
ELIZABET,100,909,1009
ENRIQUETA,465,539,1004
HERMES,880,123,1003
HORTENCIA,479,523,1002
EMILIANO,599,403,1002
DIONICIA,665,336,1001
LISANDRO,552,447,999
ISAURA,565,433,998
DIEGO,712,286,998
LILY,304,692,996
CIRIACO,816,180,996
EDMUNDO,384,610,994
LUCRECIA,564,427,991
FERMINA,632,359,991
SARAI,206,783,989
ANASTACIA,637,352,989
LICETH,31,954,985
SATURNINA,687,296,983
YOJANA,201,781,982
PAZ,249,731,980
MARISELA,198,779,977
MIREYA,281,696,977
CAMILA,608,366,974
ROSINDA,640,334,974
LEYLA,940,34,974
ADELAIDA,533,440,973
MARIXA,444,525,969
PILAR,463,499,962
JUNIOR,757,202,959
EDIL,831,126,957
BARTOLO,704,251,955
TIMOTEO,740,214,954
GABINO,628,322,950
FABRICIO,172,777,949
DE LA LUZ,0,947,947
TITO,635,309,944
YONY,835,108,943
ELI,425,517,942
RONAL,880,61,941
PURIFICACION,609,330,939
TORIBIO,633,304,937
EVELIA,429,507,936
ARCADIO,609,324,933
FELICITO,730,203,933
EDNA,894,39,933
ABELINA,500,430,930
SIOMARA,227,702,929
LEON,104,820,924
BELTRAN,154,769,923
CONSEPCION,375,548,923
FILADELFO,691,232,923
PRESENTACION,580,341,921
GASPAR,601,318,919
FLORIDALMA,675,244,919
ELIO,793,125,918
PRISCILA,557,357,914
DEMETRIO,642,269,911
AGRIPINA,442,467,909
HENRRY,854,52,906
FILIBERTO,614,290,904
NORBERTO,529,374,903
LILA,482,420,902
MERY,704,194,898
YOLANI,180,717,897
IVONNE,329,568,897
LILI,217,679,896
NINOSKA,178,716,894
SECUNDINO,661,233,894
YESICA,863,28,891
SABAS,613,277,890
DONATILA,619,270,889
RUDY,752,134,886
LESLIE,838,48,886
VENANCIO,670,215,885
AMADEO,541,343,884
AGUEDA,671,212,883
YOHANA,218,664,882
GENOVEVA,452,430,882
BONIFACIO,663,217,880
TEODOLINDA,674,203,877
NINFA,623,253,876
VIRGILIA,618,255,873
MACARIO,688,182,870
DELMER,819,50,869
YASMIN,257,611,868
ANSELMO,602,265,867
MARCELO,622,241,863
RANDOLFO,271,586,857
ERICA,786,69,855
AGAPITO,454,398,852
PATRICIO,501,350,851
ELY,488,362,850
CIRILO,629,217,846
BERTILA,496,346,842
MELVA,754,76,830
ALAN,715,112,827
DEL TRANSITO,0,824,824
ANTONIETA,82,741,823
DAMIAN,314,508,822
ELEAZAR,385,432,817
NUVIA,575,241,816
SARAHI,115,696,811
DOROTEA,550,258,808
LIZZETTE,46,761,807
AQUILINO,547,260,807
MARIN,253,550,803
FABIO,665,138,803
